nome,principio_ativo,apresentacao,fonte,status,unidade,atualizado_em,sudoeste,noroeste,caf
Furosemida comprimido 40 mg,Furosemida,comprimido 40 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ginkgo biloba (Ginkgo biloba L.) comprimidos 80mg,Ginkgo biloba (Ginkgo biloba L.),comprimidos 80mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Gliclazida - comprimido de liberação controlada 30 mg,Gliclazida -,comprimido de liberação controlada 30 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Gliclazida comprimido de liberação controlada de 60 mg,Gliclazida,comprimido de liberação controlada de 60 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Glimepirida 2 mg,Glimepirida,2 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Glimepirida 4 mg,Glimepirida,4 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Guaco, Mikania Glomerata Spreng, Xarope ou Solução Oral 35MG/ML Frasco com 120ML","Guaco, Mikania Glomerata Spreng",Xarope ou Solução Oral 35MG/ML Frasco com 120ML,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Haloperidol comprimido 5 mg,Haloperidol,comprimido 5 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Haloperidol solução oral 2 mg/mL , frasco com 20 ml",Haloperidol,"solução oral 2 mg/mL , frasco com 20 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Haloperidol, decanoato de solução injetável 50 mg/mL , ampola com 1 ml","Haloperidol, decanoato de","solução injetável 50 mg/mL , ampola com 1 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
